                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.0968,                0.76609,                 1.1752,                0.84348,                0.61377,                 0.7212,                0.33689,                  1.825,                 1.0329,                 1.7587,             0.00069335,             0.00069335,             0.00069335
                    132,                 1.0966,                0.74979,                 1.1643,                0.84182,                0.65874,                0.73866,                0.35192,                 1.8047,                 1.0772,                 1.7242,             0.00068769,             0.00068769,             0.00068769
                    133,                 1.1147,                0.76924,                 1.1879,                0.82348,                0.67558,                0.73739,                0.34843,                 1.7914,                 1.0492,                 1.7094,             0.00068203,             0.00068203,             0.00068203
                    134,                 1.1275,                0.77318,                 1.1856,                0.86114,                0.64464,                0.72771,                0.34622,                 1.8064,                 1.0776,                  1.727,             0.00067637,             0.00067637,             0.00067637
                    135,                 1.0909,                0.76972,                  1.184,                0.83026,                0.67342,                0.73864,                0.36137,                 1.7723,                 1.0419,                 1.7071,             0.00067072,             0.00067072,             0.00067072
                    136,                 1.1083,                0.76272,                 1.1769,                0.81731,                0.64223,                0.73174,                 0.3475,                  1.814,                 1.0731,                 1.7511,             0.00066506,             0.00066506,             0.00066506
                    137,                 1.0943,                0.76684,                 1.1764,                0.78972,                0.64858,                0.71289,                 0.3302,                 1.8463,                 1.0758,                 1.7826,              0.0006594,              0.0006594,              0.0006594
                    138,                  1.093,                0.75246,                 1.1706,                0.82745,                 0.6515,                0.72057,                0.33807,                 1.8083,                 1.0586,                 1.7365,             0.00065374,             0.00065374,             0.00065374
                    139,                 1.0878,                0.75321,                 1.1718,                0.85739,                0.66672,                0.74003,                0.35147,                 1.7921,                 1.0498,                 1.7077,             0.00064808,             0.00064808,             0.00064808
                    140,                  1.092,                  0.757,                 1.1684,                0.85889,                0.62996,                0.72553,                0.34773,                 1.8091,                 1.0676,                 1.7227,             0.00064242,             0.00064242,             0.00064242
                    141,                 1.0691,                0.73196,                 1.1575,                 0.8335,                0.64232,                0.72644,                0.34503,                  1.797,                  1.076,                 1.7163,             0.00063676,             0.00063676,             0.00063676
                    142,                 1.0868,                0.74869,                 1.1683,                0.83782,                0.66797,                0.72277,                0.35446,                 1.7807,                 1.0527,                  1.703,              0.0006311,              0.0006311,              0.0006311
                    143,                 1.0703,                0.75777,                 1.1722,                0.82611,                0.64509,                0.71994,                0.34463,                 1.8093,                 1.0594,                 1.7402,             0.00062544,             0.00062544,             0.00062544
                    144,                  1.078,                0.74724,                  1.167,                0.77807,                0.66844,                0.72152,                0.34096,                 1.8218,                 1.0481,                  1.742,             0.00061979,             0.00061979,             0.00061979
                    145,                 1.0773,                0.75152,                 1.1672,                0.77226,                0.65968,                0.71056,                0.34125,                 1.8149,                 1.0787,                 1.7206,             0.00061413,             0.00061413,             0.00061413
